to	from	long.x	lat.x	long.y	lat.y	col
Berlin	Oxford	13.38	52.52	-1.25	51.77	4
Berlin	Paderborn	13.38	52.52	8.76	51.72	2
Berlin	Paris	13.38	52.52	2.33	48.87	9
Berlin	Pavia	13.38	52.52	8.84	45.32	1
Berlin	Peking	13.38	52.52	116.41	39.90	3
Berlin	Potsdam	13.38	52.52	13.07	52.40	8
Berlin	Poznan	13.38	52.52	16.90	52.41	1
Berlin	Prague	13.38	52.52	14.47	50.08	6
Berlin	Princeton	13.38	52.52	-74.65	40.34	5
Berlin	Regensburg	13.38	52.52	12.12	49.02	6
Berlin	Rijeka	13.38	52.52	14.45	45.33	2
Berlin	Riverside	13.38	52.52	-117.40	33.94	2
Berlin	Rochester	13.38	52.52	-92.47	44.02	1
Berlin	Rostock	13.38	52.52	12.15	54.07	4
Berlin	Rotterdam	13.38	52.52	4.48	51.92	1
Berlin	Rouissat	13.38	52.52	5.34	31.93	1
Berlin	Salerno	13.38	52.52	14.77	40.68	3
Berlin	SanDomenicodiFiesole	13.38	52.52	11.29	43.80	1
Berlin	Santander	13.38	52.52	-3.80	43.38	1
Berlin	SãoPaulo	13.38	52.52	-46.63	-23.55	2
Berlin	Seoul	13.38	52.52	127.00	37.57	2
Berlin	Shanghai	13.38	52.52	121.44	31.22	8
Berlin	Shibuya	13.38	52.52	139.70	35.66	1
Berlin	Shoufeng.Hualien	13.38	52.52	121.56	23.85	1
Berlin	Singapore 	13.38	52.52	103.82	1.35	12
Berlin	St.Gallen	13.38	52.52	9.38	47.42	6
Berlin	Stanford	13.38	52.52	-122.17	37.42	1
Berlin	StateCollege	13.38	52.52	-77.86	40.79	1
Berlin	Stuttgart	13.38	52.52	9.20	48.78	1
Berlin	Sydney	13.38	52.52	151.19	-33.92	9
Berlin	TachikawaCity	13.38	52.52	139.41	35.71	1
Berlin	TaipeiCity	13.38	52.52	121.57	25.03	9
Berlin	Talca	13.38	52.52	-71.67	-35.46	1
Berlin	TaoyuanCity	13.38	52.52	121.30	24.99	1
Berlin	Tilburg	13.38	52.52	5.09	51.56	1
Berlin	Tokyo	13.38	52.52	139.75	35.69	2
Berlin	Toledo	13.38	52.52	-4.02	39.87	1
Berlin	Toulouse	13.38	52.52	1.45	43.62	2
Berlin	Trier	13.38	52.52	0.00	0.00	5
Berlin	Tübingen	13.38	52.52	9.06	48.52	6
Berlin	Ulm	13.38	52.52	10.00	48.40	7
Berlin	Vallendar	13.38	52.52	7.62	50.40	1
Berlin	Venice	13.38	52.52	12.33	45.44	1
Berlin	Vienna	13.38	52.52	16.37	48.20	3
Berlin	Xiamen	13.38	52.52	118.08	24.45	6
Berlin	York	13.38	52.52	-1.08	53.97	2
Berlin	Zurich	13.38	52.52	9.06	48.52	4
