to	from	long.x	lat.x	long.y	lat.y	col
Berlin	Linz	13.40154862	52.52181866	14.28878129	48.31923281	1
Berlin	Ljubliana	13.40154862	52.52181866	14.05	46.05	3
Berlin	Ljubljana	13.40154862	52.52181866	14.51496903	46.05528831	1
Berlin	London	13.40154862	52.52181866	-81.24998661	42.9699986	9
Berlin	Louvain	13.40154862	52.52181866	4.7005	50.879	1
Berlin	Lübeck	13.40154862	52.52181866	10.68	53.86	1
Berlin	Lyon	13.40154862	52.52181866	4.830030475	45.77000856	1
Berlin	Maastricht	13.40154862	52.52181866	5.677002477	50.85299707	2
Berlin	Macao	13.40154862	52.52181866	113.54	22.19	1
Berlin	Madrid	13.40154862	52.52181866	-3.683351686	40.40002626	2
Berlin	Magdeburg	13.40154862	52.52181866	11.62000362	52.13042137	1
Berlin	Mainz	13.40154862	52.52181866	8.273219156	49.98247246	4
Berlin	Malaga	13.40154862	52.52181866	-4.419999228	36.7204059	2
Berlin	Mannheim	13.40154862	52.52181866	8.470015013	49.50037518	3
Berlin	Marseille	13.40154862	52.52181866	5.37501013	43.28997906	6
Berlin	Melbourne	13.40154862	52.52181866	144.9750162	-37.82003131	1
Berlin	Milan	13.40154862	52.52181866	9.20500891	45.4699752	2
Berlin	Minneapolis	13.40154862	52.52181866	-93.25178634	44.97997927	3
Berlin	MonteVerita	13.40154862	52.52181866	8.76	46.15	1
Berlin	Montpellier	13.40154862	52.52181866	3.869985716	43.61039878	1
Berlin	Montreal	13.40154862	52.52181866	-73.56	45.5	1
Berlin	Moscow	13.40154862	52.52181866	37.61552283	55.75216412	1
Berlin	Motzen	13.40154862	52.52181866	13.58	52.21	5
Berlin	Munich	13.40154862	52.52181866	11.57499345	48.12994204	10
Berlin	Münster	13.40154862	52.52181866	7.620041055	51.97040529	3
Berlin	Nantes	13.40154862	52.52181866	-1.590016929	47.21038576	1
Berlin	NewOrleans	13.40154862	52.52181866	-90.03996688	29.99500246	1
Berlin	NewYorkCity	13.40154862	52.52181866	-74.0059	40.71	9
Berlin	Nikosia	13.40154862	52.52181866	33.38	35.185	1
Berlin	Nottingham	13.40154862	52.52181866	-1.170016725	52.97034426	4
Berlin	Nürnberg	13.40154862	52.52181866	11.0799849	49.44999066	3
Berlin	Oberwolfach	13.40154862	52.52181866	8.21667	48.3167	9
Berlin	Oslo	13.40154862	52.52181866	10.74997921	59.91669029	6
Berlin	Oviedo	13.40154862	52.52181866	-5.829990683	43.35049217	1
Berlin	Paris	13.40154862	52.52181866	2.333335326	48.86669293	8
Berlin	Peking	13.40154862	52.52181866	116.407	39.9	2
Berlin	Philadelphia	13.40154862	52.52181866	-75.16999597	39.99997316	1
Berlin	Piraeus	13.40154862	52.52181866	23.64	37.94	1
Berlin	Pisa	13.40154862	52.52181866	10.40002641	43.72046958	4
Berlin	Prag	13.40154862	52.52181866	13.4833333	48.7	8
Berlin	Prague	13.40154862	52.52181866	14.46597978	50.08333701	9
Berlin	Princeton	13.40154862	52.52181866	-74.65	40.34	5
Berlin	Princeton	13.40154862	52.52181866	-74.65	40.34	14
Berlin	Rauischholzhausen	13.40154862	52.52181866	8.8833333	50.75	4
Berlin	Rijeka	13.40154862	52.52181866	14.45001176	45.32998374	1
Berlin	Salerno	13.40154862	52.52181866	14.76994055	40.68039675	1
Berlin	Salzburg	13.40154862	52.52181866	13.0400203	47.81047833	1
Berlin	SanDiego	13.40154862	52.52181866	-117.1799899	32.82002382	1
Berlin	SanFrancisco	13.40154862	52.52181866	-62.08996749	-31.43003375	1
Berlin	Santander	13.40154862	52.52181866	-3.799985394	43.3804645	1
Berlin	SaoPaulo	13.40154862	52.52181866	-46.62501998	-23.55867959	2
Berlin	Shanghai	13.40154862	52.52181866	121.4365047	31.21645245	6
Berlin	Sheffield	13.40154862	52.52181866	-1.499996583	53.36667666	1
Berlin	Siegen	13.40154862	52.52181866	8.03333	50.8667	1
Berlin	Singapore	13.40154862	52.52181866	103.8558207	1.293033466	19
Berlin	Stanford	13.40154862	52.52181866	-122.166	37.4241	1
Berlin	Stettin	13.40154862	52.52181866	14.55	53.42	7
Berlin	Stolberg	13.40154862	52.52181866	10.95	51.57	16
Berlin	StonyBrook	13.40154862	52.52181866	-73.14	40.92	1
Berlin	Südafrika	13.40154862	52.52181866	22.93	-30.55	1
Berlin	Surrey	13.40154862	52.52181866	-0.559	51.31	2
Berlin	Sydney	13.40154862	52.52181866	151.1851798	-33.92001097	7
Berlin	Sylt	13.40154862	52.52181866	8.31	54.9	1
Berlin	Taipei	13.40154862	52.52181866	121.5683333	25.03583333	2
Berlin	Taiwan	13.40154862	52.52181866	120.96	23.69	8
Berlin	Tallin	13.40154862	52.52181866	24.75	59.43	1
Berlin	Texas	13.40154862	52.52181866	-99.9	31.96	1
Berlin	Tilburg	13.40154862	52.52181866	5.0919	51.56	1
Berlin	Tokyo	13.40154862	52.52181866	139.7514074	35.68501691	2
Berlin	Toronto	13.40154862	52.52181866	-79.42002079	43.69997988	2
Berlin	Torun	13.40154862	52.52181866	18.59	53.01	1
Berlin	Toulouse	13.40154862	52.52181866	1.449926716	43.61995892	5
Berlin	Tübingen	13.40154862	52.52181866	9.057	48.52	2
Berlin	Ulm	13.40154862	52.52181866	9.999999144	48.40039064	2
Berlin	USA	13.40154862	52.52181866	-95.71	37.09	3
Berlin	Valencia	13.40154862	52.52181866	-0.400012046	39.48501752	1
Berlin	Vancouver	13.40154862	52.52181866	-123.1216442	49.27341658	3
Berlin	Verona	13.40154862	52.52181866	10.99001623	45.44039044	1
Berlin	Vienna	13.40154862	52.52181866	16.36663896	48.20001528	5
Berlin	Warsaw	13.40154862	52.52181866	20.99999955	52.25000063	2
Berlin	Warwick	13.40154862	52.52181866	152.0203226	-28.22924721	2
Berlin	Washington	13.40154862	52.52181866	-77.03	38.9	4
Berlin	Wien	13.40154862	52.52181866	16.37	48.2	3
Berlin	Xiamen	13.40154862	52.52181866	118.080017	24.44999208	10
Berlin	Zagreb	13.40154862	52.52181866	15.99999467	45.80000673	4
Berlin	Zurich	13.40154862	52.52181866	9.057	48.52	1
Berlin	Zürich	13.40154862	52.52181866	8.55001013	47.37998781	8
Berlin	Zypern	13.40154862	52.52181866	33.42	35.12	1
